DeptCode,DeptName
ACCT,Accounting
AMST,American Studies
ANTH,Anthropology
APLN,Applied Linguistics
LING,Arab and Islamic Civilizations
ARIC,Arabic Language
ALNG,Arabic Language Intensive
ALWT,Arabic Language Intensive Summer
ALIN,Arabic Writing
ALIS,Architectural Engineering
ARCH,Biology
BIOL,Biotechnology
BIOT,Business Administration
BADM,Business School
BUSC,Center For Arabic Studies Abroad
AIAS,Chemistry
CHEM,Comparative Religion
SCI,Computer Science and Engineering
CREL,Construction Engineering
CSCE,Core Curriculum
CENG,Data Science
CORE,Economics
SEMR,Education
DSCI,Egyptology
ECON,Electronics and Communications Engineering
EDUC,Engineering
EGPT,English
ECNG,English & Comparative Literature
ENGR,Entrepreneurship
ELIN,Environmental Engineering
ENGL,Executive Business Administration
ECLT,Film
ENTR,Finance
ENVE,Gender and Women’s Studies
EMBA,Global Public Health
FILM,Graphic Design
FINC,History
GWST,Intensive English
GHHE,International Business
DSGN,International Human Rights Law
HIST,International Management
INTB,Journalism & Mass Communication
LAW,Libraries and Learning Technologies
CEMS,Linguistics
JRMC,LAW
LALT,Management
MGMT,Management of Information Systems
MOIS,Marketing
MKTG,Mathematics and Actuarial Science
MACT,Mechanical Engineering
MENG,Middle East Studies
MEST,Migration & Refugee Studies
MRS,Music
MUSC,Nanotechnology
NANO,Operations Management
OPMG,Petroleum Engineering
PENG,Ph.D. in Applied Sciences
PHDS,Ph.D. in Engineering
PHDE,Philosophy
PHIL,Physics
PHYS,Political Science
POLS,Production /Operations Management
PSYC,Psychology
PPAD,Public Policy and Administration
RHET,Rhetoric and Composition
RCSS,"Robotics, Control and Smart Systems"
SOC,Sociology
GREN,Sustainable Development
TEAL,Teaching & Learning
THTR,Theatre
TVDJ,Television and Digital Journalism
TRST,Translation Studies
ARTV,Visual Arts
