DeptCode,CourseNo,Concurrent,PrereqDeptCode,PrereqCourseNo
ACCT,2002,0,ACCT,2001
ACCT,3001,0,ACCT,2001
ACCT,3002,0,ACCT,3001
ACCT,3003,0,ACCT,3002
ACCT,3004,0,ACCT,2002
ACCT,3005,0,ACCT,3002
ACCT,3006,0,ACCT,3002
ACCT,4000,0,MOIS,2101
ACCT,4000,0,ACCT,3002
ACCT,4001,0,ACCT,3005
ACCT,4002,0,ACCT,3006
ACCT,4004,0,ACCT,3002
ACCT,4004,0,FINC,2101
ACCT,5211,0,ENTR,5211
ACCT,5301,0,BADM,5310
ACCT,5370,0,BADM,5310
AMST,2096,0,RHET,1000
AMST,4444,0,JRMC,2203
ANTH,2005,1,RHET,2010
ANTH,3080,0,ANTH,2101
ANTH,3104,0,ANTH,3102
ANTH,3105,0,ANTH,2101
ANTH,4107,0,SOC,3105
ANTH,4107,0,ANTH,3105
APLN,5132,0,APLN,5301
APLN,5202,0,APLN,5201
APLN,5202,0,APLN,5302
APLN,5204,0,APLN,5203
APLN,5206,0,APLN,5205
APLN,5210,0,APLN,5203
APLN,5310,0,APLN,5100
APLN,5311,0,APLN,5302
APLN,5312,0,APLN,5100
APLN,5313,0,APLN,5100
APLN,5320,0,APLN,5301
APLN,5321,0,APLN,5301
APLN,5322,0,APLN,5301
APLN,5323,0,APLN,5301
APLN,5330,0,APLN,5301
APLN,5332,0,APLN,5100
APLN,5397,0,APLN,5100
LING,3310,0,LING,2200
ARIC,2096,0,RHET,1000
ARIC,2097,0,RHET,1000
ARIC,2099,0,RHET,1000
ARIC,2270,0,ARIC,2270
ARIC,2270,0,ARIC,2206
ARIC,3098,0,RHET,1020
ARIC,3269,0,ARIC,2270
ARIC,3270,0,ARIC,2270
ARIC,3273,0,ARIC,2270
ARIC,3273,0,ARIC,2206
ARIC,3405,0,ARIC,2346
ARIC,3405,0,ARIC,3343
ARIC,5103,0,ARIC,2101
ARIC,5121,0,ARIC,5122
ARIC,5122,0,ARIC,2270
ARIC,5124,0,ARIC,2270
ARIC,5127,0,ARIC,3268
ARIC,5130,0,ARIC,2101
ARIC,5133,0,ARIC,3343
ARIC,5133,0,ARIC,2346
ARIC,5134,0,HIST,3213
ARIC,5134,0,HIST,3214
ARIC,5135,0,ARIC,3343
ARIC,5136,0,ARIC,3355
ARIC,5136,0,ARIC,3356
ARIC,5240,0,ARIC,3435
ARIC,5241,0,ARIC,3435
ARIC,5242,0,ARIC,3435
ARIC,5243,0,ARIC,3435
ALNG,1020,0,ALNG,1010
ALNG,1502,0,ALNG,1501
ALNG,2010,0,ALNG,1020
ALNG,2131,0,ALNG,2101
ALNG,2501,0,ALNG,2101
ALNG,3103,0,ALNG,3501
ALNG,3131,0,ALNG,2131
ALIN,3151,0,ALIN,2151
ALIN,1131,0,ALIN,1131
ALIN,3121,0,ALIN,2121
ALWT,4201,0,ALWT,4271
ALWT,4202,0,ALWT,4271
ALWT,5271,0,ALWT,4272
ARCH,1521,0,ENGR,1005
ARCH,2221,0,ARCH,1521
ARCH,2221,0,ARCH,1511
ARCH,2231,0,PHYS,1011
ARCH,2231,0,MACT,1121
ARCH,2231,0,ARCH,2551
ARCH,2411,0,MACT,1121
ARCH,2551,0,ARCH,1521
ARCH,2551,0,ARCH,2512
ARCH,2551,0,ARCH,1511
ARCH,2552,0,ARCH,2221
ARCH,2552,0,ARCH,2551
ARCH,3311,0,CENG,4252
ARCH,3321,0,ARCH,2551
ARCH,3331,0,ENGR,2102
ARCH,3522,0,ARCH,3554
ARCH,3531,0,ARCH,2411
ARCH,3553,0,ARCH,2211
ARCH,3553,0,ARCH,2552
ARCH,3554,0,ARCH,2231
ARCH,3554,0,ARCH,3553
ARCH,3562,0,CENG,2251
ARCH,3950,0,ARCH,2551
ARCH,4312,0,ARCH,3311
ARCH,4312,0,ARCH,3321
ARCH,4421,0,ARCH,2552
ARCH,4532,0,ARCH,3531
ARCH,4541,0,ARCH,2551
ARCH,4541,0,ARCH,1521
ARCH,4541,0,DSGN,2201
ARCH,4555,0,ARCH,3554
ARCH,4555,0,CENG,3152
ARCH,4555,0,ARCH,3331
ARCH,4557,0,ARCH,4555
ARCH,4557,0,ARCH,4532
ARCH,4557,0,ARCH,3321
ARCH,4557,0,ARIC,2205
ARCH,4557,0,EGPT,2030
ARCH,4558,0,ARCH,4557
ARCH,4558,0,ARCH,3522
ARCH,4561,0,ARIC,2205
ARCH,4561,0,ARCH,3554
ARCH,4561,0,ARCH,4421
ARCH,4561,0,ARCH,4532
ARCH,4561,0,ARCH,3311
ARCH,4561,0,CENG,3151
ARCH,4562,0,ARCH,4561
ARCH,4562,0,ARCH,3522
ARCH,4562,0,ARCH,3321
ARCH,4562,0,CENG,3152
ARCH,4570,0,ARCH,4562
ARCH,4570,0,ARCH,4541
ARCH,4570,0,EGPT,2030
ARCH,4570,0,ARCH,4312
ARCH,4801,0,ARCH,4562
ARCH,4802,0,ARCH,4562
ARCH,4803,0,ARCH,4562
ARCH,4936,0,ARCH,4541
ARCH,4937,0,ARCH,3553
ARCH,4938,0,ARCH,4532
ARCH,4939,0,ARCH,3522
ARCH,4951,0,ARCH,3311
ARCH,4980,0,ARCH,4557
ARCH,4981,0,ARCH,4558
ARCH,4981,0,ARCH,4980
ARCH,4981,0,ARCH,4312
ARCH,4981,0,ARCH,4541
ARCH,4981,0,ARCH,4570
ARCH,4981,0,ARCH,4801
ARCH,4981,0,ARCH,4802
ARCH,4981,0,ARCH,4803
BIOL,1012,0,BIOL,1011
BIOL,2090,0,BIOL,2150
BIOL,2150,0,BIOL,1011
BIOL,2150,0,BIOL,1010
BIOL,2230,0,BIOL,2150
BIOL,2230,0,CHEM,2003
BIOL,2320,0,PHYS,1011
BIOL,2320,0,PHYS,1012
BIOL,2340,0,BIOL,1011
BIOL,2340,0,BIOL,1010
BIOL,2340,0,BIOL,1012
BIOL,3130,0,BIOL,2230
BIOL,3280,0,CHEM,3006
BIOL,3310,0,BIOL,2230
BIOL,3326,0,BIOL,2230
BIOL,3340,0,BIOL,1012
BIOL,3341,0,BIOL,2150
BIOL,3360,0,BIOL,2230
BIOL,3370,0,BIOL,2230
BIOL,3510,0,BIOL,1012
BIOL,3510,0,CHEM,1005
BIOL,3510,0,PHYS,1011
BIOL,3540,0,BIOL,3510
BIOL,3600,0,BIOL,1011
BIOL,3600,0,BIOL,1012
BIOL,3601,0,BIOL,3600
BIOL,3601,0,CSCE,1101
BIOL,4150,0,BIOL,2230
BIOL,4150,0,CHEM,2003
BIOL,4230,0,BIOL,2230
BIOL,4230,0,CHEM,1005
BIOL,4330,0,BIOL,2230
BIOL,4330,0,BIOL,2150
BIOL,4540,0,BIOL,1012
BIOL,4540,0,CHEM,1005
BIOL,4541,0,BIOL,3510
BIOL,4690,0,BIOL,3600
BIOL,4690,0,BIOL,3601
